idCrime,dataCrime,numeroArtigo,lugarCrime,descricaoCrime,marcaCelular
445,15/12/2018,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
63,30/11/2018,155,,FURTO (ART. 155) - OUTROS,MOTOROLA
499,26/01/2019,155,SAO PAULO,FURTO (ART. 155) - ESTABELECIMENTO COMERCIAL,LG
1390,03/01/2021,157,SANTOS,ROUBO (ART. 157) - OUTROS,APPLE
1190,28/11/2021,155,ITAPEVI,FURTO (ART. 155) - OUTROS,SAMSUNG
1309,12/01/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,LG
401,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
1499,28/02/2021,157,PINDAMONHANGABA,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
281,30/04/2018,157,SAO PAULO,,MOTOROLA
1025,20/08/2020,155,SANTA ISABEL,FURTO (ART. 155) - OUTROS,MOTOROLA
991,31/08/2020,155,GUARULHOS,FURTO (ART. 155) - OUTROS,SAMSUNG
893,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
758,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,LG
666,29/08/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
731,31/08/2019,157,SOROCABA,ROUBO (ART. 157) - OUTROS,
517,27/01/2019,155,FRANCO DA ROCHA,FURTO (ART. 155) - RESIDENCIA,MOTOROLA
598,29/08/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
396,31/01/2018,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
775,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
155,30/11/2018,155,SAO PAULO,FURTO (ART. 155) - OUTROS,
1080,29/08/2020,155,TABOAO DA SERRA,FURTO (ART. 155) - INTERIOR ESTABELECIMENTO,
761,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
1001,30/08/2020,155,PRAIA GRANDE,FURTO (ART. 155) - OUTROS,SAMSUNG
734,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,
680,09/01/2019,,,ROUBO (ART. 157) - INTERIOR DE VEICULO,SAMSUNG
1265,28/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
279,30/04/2018,157,SAO PAULO,,ASUS
90,19/11/2018,155,SAO PAULO,,LG
183,30/11/2018,,ITU,FURTO (ART. 155) - OUTROS,MOTOROLA
1301,12/01/2021,155,GUARULHOS,FURTO (ART. 155) - OUTROS,APPLE
1408,26/02/2021,157,SAO PAULO,ROUBO (ART. 157) - ESTABELECIMENTO COMERCIAL,MOTOROLA
300,30/04/2018,157,SAO PAULO,,SAMSUNG
613,31/07/2019,157,CARAPICUIBA,ROUBO (ART. 157) - OUTROS,MOTOROLA
1100,29/08/2020,155,ITANHAEM,FURTO (ART. 155) - INTERIOR ESTABELECIMENTO,MOTOROLA
327,29/04/2018,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,MOTOROLA
211,30/04/2018,,SAO PAULO,ROUBO (ART. 157) - VEICULO,APPLE
583,30/08/2019,157,OSASCO,ROUBO (ART. 157) - OUTROS,SAMSUNG
1188,27/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
781,31/12/2019,157,,,MOTOROLA
579,31/08/2019,157,SAO BERNARDO DO CAMPO,ROUBO (ART. 157) - VEICULO,SAMSUNG
1076,29/08/2020,155,RIBEIRAO PRETO,FURTO (ART. 155) - OUTROS,SAMSUNG
697,31/08/2019,,,ROUBO (ART. 157) - APLICATIVO DE MOBILIDADE URBANA,SAMSUNG
1407,28/02/2021,157,DIADEMA,ROUBO (ART. 157) - VEICULO,SAMSUNG